flight_date,flight_status,departure_airport,departure_timezone,arrival_airport,arrival_timezone,arrival_terminal,airline_name,flight_number,timestamp
2022-03-28,active,Dubai,Asia-Dubai,Schiphol,Europe-Amsterdam,1,Air France,8422,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Frankfurt International Airport,Europe-Berlin,1,United Airlines,8741,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Frankfurt International Airport,Europe-Berlin,1,Air Canada,9081,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Charles De Gaulle,Europe-Paris,2E,KLM,2287,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Charles De Gaulle,Europe-Paris,2E,Delta Air Lines,8627,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Sialkot International,Asia-Karachi,MAIN,Emirates,2114,2022-03-27
2022-03-28,active,None,None,Milano Malpensa,Europe-Rome,1,Cargolux,8727,2022-03-27
2022-03-28,active,Perth International,Australia-Perth,Port Hedland,Australia-Perth,4,Air New Zealand,7459,2022-03-27
2022-03-28,active,Pulkovo,Europe-Moscow,Syktyvkar,Europe-Moscow,B,Rossiya Airlines,6587,2022-03-27
2022-03-28,active,Tottori,Asia-Tokyo,Haneda Airport,Asia-Tokyo,2,ANA,292,2022-03-27
2022-03-28,active,Darwin,Australia-Darwin,Alice Springs,Australia-Darwin,None,Alliance Airlines,1958,2022-03-27
2022-03-28,active,Bandaranaike International,Asia-Colombo,Indira Gandhi International,Asia-Kolkata,3,Air India,284,2022-03-27
2022-03-28,active,Bandaranaike International,Asia-Colombo,Dubai,Asia-Dubai,2,flydubai,570,2022-03-27
2022-03-28,active,Bandaranaike International,Asia-Colombo,Dubai,Asia-Dubai,2,Emirates,2041,2022-03-27
2022-03-28,active,Wellington International,Pacific-Auckland,Queenstown,Pacific-Auckland,None,Etihad Airways,4543,2022-03-27
2022-03-28,active,Wellington International,Pacific-Auckland,Queenstown,Pacific-Auckland,None,Qantas,8611,2022-03-27
2022-03-28,active,Wellington International,Pacific-Auckland,Queenstown,Pacific-Auckland,None,Air New Zealand,603,2022-03-27
2022-03-28,active,Kingsford Smith,Australia-Sydney,Gold Coast (coolangatta),Australia-Brisbane,1,Virgin Australia,511,2022-03-27
2022-03-28,active,Ngurah Rai International,Asia-Makassar,Doha International,Asia-Qatar,I,British Airways,6361,2022-03-27
2022-03-28,active,Ngurah Rai International,Asia-Makassar,Doha International,Asia-Qatar,I,Iberia,7967,2022-03-27
2022-03-28,active,Ngurah Rai International,Asia-Makassar,Doha International,Asia-Qatar,I,Qatar Airways,961,2022-03-27
2022-03-28,active,Hasanudin,Asia-Makassar,Jefman,Asia-Jayapura,3,Lion Air,3942,2022-03-27
2022-03-28,active,Hasanudin,Asia-Makassar,Jefman,Asia-Jayapura,3,None,6421,2022-03-27
2022-03-28,active,None,None,Dubai,Asia-Dubai,3,Emirates,2491,2022-03-27
2022-03-28,active,Narita International Airport,Asia-Tokyo,Fukuoka,Asia-Tokyo,D,JAL,6045,2022-03-27
2022-03-28,active,Kingsford Smith,Australia-Sydney,Hamilton Island,Australia-Lindeman,D,Singapore Airlines,6666,2022-03-27
2022-03-28,active,Kingsford Smith,Australia-Sydney,Hamilton Island,Australia-Lindeman,D,Etihad Airways,6471,2022-03-27
2022-03-28,active,Darwin,Australia-Darwin,Townsville International,Australia-Brisbane,None,Alliance Airlines,1993,2022-03-27
2022-03-28,active,Townsville International,Australia-Brisbane,Tullamarine,Australia-Melbourne,1,Alliance Airlines,1987,2022-03-27
2022-03-28,active,Doha International,Asia-Qatar,Kisauni,Africa-Dar_es_Salaam,2,Finnair,2753,2022-03-27
2022-03-28,active,Doha International,Asia-Qatar,Kisauni,Africa-Dar_es_Salaam,2,JetBlue Airways,6552,2022-03-27
2022-03-28,active,Doha International,Asia-Qatar,Kisauni,Africa-Dar_es_Salaam,2,British Airways,6169,2022-03-27
2022-03-28,active,Doha International,Asia-Qatar,Kisauni,Africa-Dar_es_Salaam,2,JAL,9231,2022-03-27
2022-03-28,active,Doha International,Asia-Qatar,Kisauni,Africa-Dar_es_Salaam,2,LATAM Airlines,7442,2022-03-27
2022-03-28,active,Darwin,Australia-Darwin,Adelaide International Airport,Australia-Adelaide,1,Alliance Airlines,1951,2022-03-27
2022-03-28,active,Canberra,Australia-Sydney,Adelaide International Airport,Australia-Adelaide,1,Alliance Airlines,1975,2022-03-27
2022-03-28,active,Vnukovo,Europe-Moscow,Pulkovo,Europe-Moscow,1,Rossiya Airlines,6034,2022-03-27
2022-03-28,active,Gladstone,Australia-Brisbane,Brisbane International,Australia-Brisbane,D,Air New Zealand,7189,2022-03-27
2022-03-28,active,Gladstone,Australia-Brisbane,Brisbane International,Australia-Brisbane,D,Qantas,1787,2022-03-27
2022-03-28,active,Williamtown,Australia-Sydney,Tullamarine,Australia-Melbourne,4,Jetstar,471,2022-03-27
2022-03-28,active,Williamtown,Australia-Sydney,Tullamarine,Australia-Melbourne,4,Emirates,7522,2022-03-27
2022-03-28,active,Williamtown,Australia-Sydney,Tullamarine,Australia-Melbourne,4,Qantas,5471,2022-03-27
2022-03-28,active,Williamtown,Australia-Sydney,Brisbane International,Australia-Brisbane,D,Qantas,1776,2022-03-27
2022-03-28,active,Williamtown,Australia-Sydney,Brisbane International,Australia-Brisbane,D,Air New Zealand,7162,2022-03-27
2022-03-28,active,Abu Dhabi International,Asia-Dubai,Bahrain International,Asia-Bahrain,1,Aer Lingus,8079,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Mashad,Asia-Tehran,2,Emirates,2082,2022-03-27
2022-03-28,active,Shonai,Asia-Tokyo,Haneda Airport,Asia-Tokyo,2,ANA,394,2022-03-27
2022-03-28,active,Shonai,Asia-Tokyo,Haneda Airport,Asia-Tokyo,2,Thai Airways International,6147,2022-03-27
2022-03-28,active,Pulkovo,Europe-Moscow,Khrabrovo,Europe-Kaliningrad,A,Rossiya Airlines,6327,2022-03-27
2022-03-28,active,Tullamarine,Australia-Melbourne,Kingsford Smith,Australia-Sydney,3,Qantas,426,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,Alaska Airlines,9513,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,Air China LTD,5109,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,Etihad Airways,4409,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,Singapore Airlines,4231,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,Turkish Airlines,8737,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,United Airlines,6781,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Tullamarine,Australia-Melbourne,2,Air New Zealand,123,2022-03-27
2022-03-28,active,Auckland International,Pacific-Auckland,Rarotonga,Pacific-Rarotonga,None,Singapore Airlines,4269,2022-03-27
2022-03-28,active,Kuching,Asia-Kuching,Kota-Kinabalu International Airport,Asia-Kuching,1,AirAsia,6350,2022-03-27
2022-03-28,active,Guam International,Pacific-Guam,Truk,Pacific-Chuuk,None,United Airlines,155,2022-03-27
2022-03-28,active,Kingsford Smith,Australia-Sydney,Gold Coast (coolangatta),Australia-Brisbane,1,Etihad Airways,6440,2022-03-27
2022-03-28,active,Kingsford Smith,Australia-Sydney,Gold Coast (coolangatta),Australia-Brisbane,1,Singapore Airlines,6712,2022-03-27
2022-03-28,active,Kingsford Smith,Australia-Sydney,Gold Coast (coolangatta),Australia-Brisbane,1,Etihad Airways,6430,2022-03-27
2022-03-28,active,Queenstown,Pacific-Auckland,Wellington International,Pacific-Auckland,None,Etihad Airways,4545,2022-03-27
2022-03-28,active,Madras International (Meenambakkam),Asia-Kolkata,Kuwait International,Asia-Kuwait,1,IndiGo,1751,2022-03-27
2022-03-28,active,Tashkent International,Asia-Tashkent,Istanbul Airport,Europe-Istanbul,I,Turkish Airlines,371,2022-03-27
2022-03-28,active,Naha,Asia-Tokyo,Narita International Airport,Asia-Tokyo,1,Peach Aviation,500,2022-03-27
